Emergency,The emergency ward is the first place you should go if you have a serious health problem
Maternity,The maternity ward provides care for women during pregnancy labor delivery and postpartum
Pediatrics,A specialized ward dedicated to the medical care and treatment of children and adolescents
Cardiology,Specialized unit for patients with heart conditions and cardiovascular diseases
Surgery,Ward for patients requiring surgical procedures and post-operative care
Oncology,Dedicated ward for cancer patients receiving various treatments and therapy
Orthopedics,Ward specializing in treating bone and joint related conditions and injuries
Neurology,Unit focused on treating disorders of the nervous system and brain
ICU,Intensive Care Unit for critically ill patients requiring constant monitoring
Psychiatry,Ward providing care and treatment for patients with mental health conditions
